,n_estimators,Mean Squared Error
264,265,4.690252469420745
265,266,4.68900564606285
266,267,4.689039663406603
267,268,4.688819396776384
268,269,4.690139712839313
269,270,4.687735296434126
270,271,4.68811884864907
271,272,4.688481299719789
272,273,4.685656705610436
273,274,4.68694496435
274,275,4.689294254418917
275,276,4.691774286994912
276,277,4.692064770804299
277,278,4.692838122190967
278,279,4.693355379254571
279,280,4.691706376330437
280,281,4.690171194076853
281,282,4.692002838540031
282,283,4.69464140103465
283,284,4.693678433733338
284,285,4.693710099979235
285,286,4.694425605678826
286,287,4.694174949452868
287,288,4.69519094164876
288,289,4.693709856312675
289,290,4.69385106304297
290,291,4.695388008099521
291,292,4.695681569026029
292,293,4.694370487270936
293,294,4.694349745398924
294,295,4.694767425078588
295,296,4.694130731076188
296,297,4.69236720900085
297,298,4.693224355814827
298,299,4.691910845864146
299,300,4.693736044657097
300,301,4.693845191353497
301,302,4.691353866478198
302,303,4.692800793888664
303,304,4.6908656711611485
304,305,4.692500266816169
305,306,4.691029293215446
306,307,4.691218900904918
307,308,4.689956336888427
308,309,4.690335570658136
309,310,4.690162024705127
310,311,4.689186808661761
311,312,4.6904735713566685
312,313,4.690513796938305
313,314,4.6910287299716735
314,315,4.689295641701657
315,316,4.6908350416944895
316,317,4.692113733698673
317,318,4.690082231696592
318,319,4.689962899276751
319,320,4.690633118551885
320,321,4.688375891066542
321,322,4.689817459712424
322,323,4.688033922958385
323,324,4.687352187677074
324,325,4.686898808074517
325,326,4.685992583903139
326,327,4.6845573669350244
327,328,4.684564583695056
328,329,4.684979179236269
329,330,4.684945584597607
330,331,4.682498736038725
331,332,4.6836440960417445
332,333,4.682915134195362
333,334,4.681975182374557
334,335,4.68173145200229
335,336,4.6827136793214095
336,337,4.683575728955282
337,338,4.685339740811616
338,339,4.687164948219682
339,340,4.687645723994636
340,341,4.687217266834519
341,342,4.6864239010931925
342,343,4.6881181029891
343,344,4.686657657637259
344,345,4.685004014877659
345,346,4.684088966694862
346,347,4.683890703301081
347,348,4.684212432621478
348,349,4.6862725708877475
349,350,4.686522732155063
350,351,4.685672631129222
351,352,4.684154928788826
352,353,4.684122691760688
353,354,4.684285408783246
354,355,4.686743877240124
355,356,4.687526587687988
356,357,4.686105345600103
357,358,4.684758932148687
358,359,4.684655931815592
359,360,4.682582458355485
360,361,4.681481903223946
361,362,4.6821136010564555
362,363,4.681350239532201
363,364,4.680238491626938
364,365,4.679001473386121
365,366,4.679738881980958
366,367,4.680566156995873
367,368,4.680099196512559
368,369,4.680697894263858
369,370,4.6803085145794965
370,371,4.680008788899519
371,372,4.680848219447335
372,373,4.678707019725351
373,374,4.680159800799642
374,375,4.680658560340245
375,376,4.680759948089157
376,377,4.678524051925199
377,378,4.678706529966624
378,379,4.677515122846301
379,380,4.6767045454545455
380,381,4.676184888786577
381,382,4.674910738748584
382,383,4.6760047809379355
383,384,4.675353922785628
384,385,4.6742079681332775
385,386,4.672936019219423
386,387,4.6719532449988925
387,388,4.673579957040012
388,389,4.673342110053507
389,390,4.672445342556679
390,391,4.673481687245316
391,392,4.673751546591931
392,393,4.672469382671371
393,394,4.672502746551292
394,395,4.671349081433245
395,396,4.669610956295837
396,397,4.670933484143624
397,398,4.669829606545386
398,399,4.670805839952737
